binomial,calculated_rarity,output_rarity,justification
"Anoplius viaticus: iso. Day: 1988","NF","NF",""
"Anoplius infuscatus: iso. Day: 1988","NF","NF",""
"Anoplius nigerrimus: iso. Day: 1988","NF","NF",""
"Anoplius concinnus: iso. Day: 1988","NF","NF",""
"Anoplius caviventris: iso. Day: 1988","NS","NS",""
"Tachysphex nitidus: iso. Bitsch et al: 2001","NS","NS",""
"Tachysphex unicolor: iso. Bitsch et al: 2001","NR","NR",""
"Tachysphex pompiliformis: iso. Richards: 1980","NF","NF",""
"Tapinoma subboreale: iso. Seifert: 2012","NR","ID",""
"Tapinoma melanocephalum: iso. Bolton: 2019","NR","",""
"Tapinoma erraticum: iso. Seifert: 2012","NR","ID","Nomenclatural split"
"Symmorphus gracilis: iso. Richards: 1980","NF","NF",""
"Symmorphus crassicornis: iso. Richards: 1980","NS","NS",""
"Symmorphus connexus: iso. Richards: 1980","NR","NR",""
"Symmorphus bifasciatus: iso. Archer: 2000","NF","NF",""
"Epeolus variegatus: iso. Amiet et al: 2007","NF","NF",""
"Epeolus cruciger: iso. Amiet et al: 2007","NF","NF",""
"Odynerus simillimus: iso. Richards: 1980","NR","NR",""
"Odynerus spinipes: iso. Richards: 1980","NF","NF",""
"Odynerus melanocephalus: iso. Richards: 1980","NF","NF",""
"Aporus unicolor: iso. Day: 1988","NS","NS",""
"Epyris niger: iso. Perkins: 1976","NS","NS",""
"Epyris bilineatus: iso. Perkins: 1976","NR","ID",""
"Trypoxylon figulus: iso. Pulawski: 1984","NF","NF",""
"Trypoxylon medium: iso. Pulawski: 1984","NF","NF",""
"Trypoxylon clavicerum: iso. Richards: 1980","NF","NF",""
"Trypoxylon attenuatum: iso. Richards: 1980","NF","NF",""
"Formica sanguinea: iso. Bolton & Collingwood: 1875","NS","NS",""
"Formica rufibarbis: iso. Bolton & Collingwood: 1975","NR","NR",""
"Formica rufa: iso. Bolton & Collingwood: 1975","NF","NF",""
"Formica picea: iso. Seifert: 2007","NR","NR",""
"Formica lugubris: iso. Bolton & Collingwood: 1975","NF","NF",""
"Formica lemani: iso. Bolton & Collingwood: 1975","NF","NF",""
"Formica fusca: iso. Bolton & Collingwood: 1975","NF","NF",""
"Formica exsecta: iso. Bolton & Collingwood: 1975","NR","NR",""
"Formica cunicularia: iso. Bolton & Collingwood: 1975","NF","NF",""
"Formica aquilonia: iso. Bolton & Collingwood: 1975","NS","NS",""
"Formicoxenus nitidulus: iso. Bolton & Collingwood: 1975","NS","NS",""
"Diodontus tristis: iso. Richards: 1980","NF","NF",""
"Diodontus minutus: iso. Richards: 1980","NF","NF",""
"Diodontus luperus: iso. Richards: 1980","NF","NF",""
"Diodontus insidiosus: iso. Richards: 1980","NS","NS",""
"Argogorytes mystaceus: iso. Richards: 1980","NF","NF",""
"Argogorytes fargeii: iso. Richards: 1980","NS","NS",""
"Homonotus sanguinolentus: iso. Day: 1988","NR","NR",""
"Evagetes pectinipes: iso. Day: 1988","NS","NS",""
"Evagetes dubius: iso. Day: 1988","NS","NS",""
"Evagetes crassicornis: iso. Day: 1988","NF","NF",""
"Dryudella pinguis: iso. Bitsch et al: 2001","NF","NF",""
"Xylocopa virginica: iso. Falk: 2015","NR","",""
